database_cuberite_cuberite,546920,70
database_cstack_db_tutorial,773,0
database_crawshaw_sqlite,2375,4
database_coreutils_coreutils,561377,8
database_curl_curl,167,3
database_cs50_libcs50,322,0
database_confluentinc_librdkafka,138753,4
database_coturn_coturn,0,0
database_conda_pycosat,7353,0
database_containers_conmon,3326,0
database_cosinekitty_astronomy,44027,0
database_dachev_node-cld,70662,0
database_Cyan4973_xxHash,9596,4
database_danielkrupinski_Osiris,8450,2
database_cvxgrp_scs,10033,0
database_cyberbotics_webots,422837,26
database_dainis_node-gcstats,177,0
database_danmar_cppcheck,234925,0
database_dannagle_PacketSender,10323,0
database_davidrmiller_biosim4,3277,47
database_DaveGamble_cJSON,10122,0
database_DmitryUlyanov_Multicore-TSNE,882,0
database_dialkforkaushik_DECAGT,97692,11
database_davidmoreno_onion,18092,0
database_dfranx_SHADERed,597306,4
database_diasurgical_devilutionX,118348,26
database_dcantrell_pyparted,7453,0
database_dmlc_decord,25672,0
database_davisking_dlib,413541,0
database_doitsujin_dxvk,279782,0
database_dgiese_dustcloud,10083,0
database_davatorium_rofi,0,0
database_dlundquist_sniproxy,5561,0
database_domoticz_domoticz,216551,0
database_doctest_doctest,14204,0
database_deepmodeling_deepmd-kit,67138,1
database_dmlc_treelite,8790,0
database_dmlc_xgboost,82991,0
database_doceme_py-spidev,1264,0
database_dotnet_diagnostics,242077,0
database_douban_greenify,812,0
database_douban_libmc,6083,0
database_dvarrazzo_py-setproctitle,934,0
database_dresden-elektronik_deconz-rest-plugin,94055,9
database_drogonframework_drogon,65072,0
database_DynamoRIO_dynamorio,678144,93
database_emcrisostomo_fswatch,4898,0
database_endless-sky_endless-sky,79396,0
database_ducha-aiki_pydegensac,19740,11
database_easysnmp_easysnmp,3718,0
database_eggert_tz,7658,0
database_edenhill_kcat,4023,3
database_duckdb_duckdb,801772,5
database_eclipse_mraa,3825,0
database_emscripten-core_emscripten,1057713,0
database_DynamoRIO_drmemory,842365,93
database_eclipse_mosquitto,52423,0
database_dunst-project_dunst,18405,0
database_eerimoq_bitstruct,2649,0
database_eclipse-threadx_threadx,2534,0
database_envoyproxy_envoy,824921,159
database_EmbeddedRPC_erpc,56463,0
database_embree_embree,197206,0
database_epfml_sent2vec,3576,0
database_ericniebler_range-v3,77060,0
database_erincatto_box2d,79281,0
database_ethereum_evmc,11184,0
database_espeak-ng_espeak-ng,45535,0
database_exaloop_codon,37733,78
database_EZLippi_Tinyhttpd,410,0
database_facebook_redex,288268,0
database_esnet_iperf,14291,0
database_facebookincubator_katran,20201,64
database_EtchedPixels_FUZIX,386775,0
database_Ettercap_ettercap,0,0
database_eteran_edb-debugger,59458,0
database_facebook_pyre2,906,0
database_esheldon_fitsio,121230,30
database_espruino_Espruino,650162,1
database_ethereum_serpent,4756,0
database_ethereum_ethash,16093,0
database_Esri_lerc,8918,0
database_facebook_hermes,428504,4
database_EZLippi_WebBench,393,0
database_facebook_yoga,59156,0
database_facebook_rocksdb,486668,0
database_facebookresearch_nle,315241,24
database_facebook_zstd,93166,15
database_facontidavide_PlotJuggler,109783,16
database_fairy-stockfish_Fairy-Stockfish,21923,0
database_FeralInteractive_gamemode,5287,0
database_Farama-Foundation_ViZDoom,393748,75
database_file_file,17975,0
database_FLIF-hub_FLIF,32774,0
database_flier_pyfasthash,141413,0
database_Farama-Foundation_Arcade-Learning-Environment,29623,16
database_flameshot-org_flameshot,27152,0
database_fancycode_pylzma,23565,0
database_fmtlib_fmt,47593,20
database_farbrausch_fr_public,760859,0
database_FFmpeg_FFmpeg,1293815,1447
database_fibjs_fibjs,2682634,88
database_fluent_fluent-bit,973883,21
database_fltk_fltk,261825,9
database_falcosecurity_falco,11567,1
database_fogleman_Craft,88545,3
database_fonttools_unicodedata2,16052,0
database_flatpak_flatpak,0,0
database_fontforge_fontforge,426941,0
database_Foundry376_Mailspring,315913,7
database_fragglet_c-algorithms,7194,0
database_FreeRADIUS_freeradius-server,329562,12
database_FreeRDP_FreeRDP,8373,1
database_FreeRDP_Remmina,45642,0
database_gdabah_distorm,12038,0
database_ggerganov_ggml,86129,0
database_ggerganov_ggwave,67115,0
