database_confluentinc_librdkafka,138753,3124
database_containers_conmon,3326,9
database_coreutils_coreutils,561377,803
database_coronalabs_corona,1832341,
database_cosinekitty_astronomy,44027,62
database_coturn_coturn,0,2622
database_crawshaw_sqlite,2375,23932
database_cs50_libcs50,322,0
database_csound_csound,218806,39304
database_cstack_db_tutorial,773,0
database_cuberite_cuberite,546920,
database_curl_curl,167,1181
database_cvangysel_pytrec_eval,8944,207
database_cvxgrp_scs,10033,35
database_Cyan4973_xxHash,9596,20
database_cyberbotics_webots,422837,5116
database_dachev_node-cld,70662,31
database_dainis_node-gcstats,177,34
database_danielkrupinski_Osiris,8450,46
database_danmar_cppcheck,234925,1363
database_dannagle_PacketSender,10323,234
database_davatorium_rofi,0,5413
database_DaveGamble_cJSON,10122,131
database_davidmoreno_onion,18092,100
database_davidrmiller_biosim4,3277,1443
database_davisking_dlib,413541,2432
database_dcantrell_pyparted,7453,3
database_deepmodeling_deepmd-kit,67138,3365
database_dfranx_SHADERed,597306,28841
database_dgiese_dustcloud,10083,84
database_dialkforkaushik_DECAGT,97692,319
database_diasurgical_devilutionX,118348,26570
database_dlundquist_sniproxy,5561,21
database_DmitryUlyanov_Multicore-TSNE,882,111
database_dmlc_decord,25672,190
database_dmlc_treelite,8790,241
database_dmlc_xgboost,82991,1531
database_doceme_py-spidev,1264,0
database_doctest_doctest,14204,1023
database_doitsujin_dxvk,279782,1520
database_domoticz_domoticz,216551,880
database_dotnet_diagnostics,242077,197
database_douban_greenify,812,54
database_douban_libmc,6083,110
database_dresden-elektronik_deconz-rest-plugin,94055,30730
database_drogonframework_drogon,65072,1040
database_ducha-aiki_pydegensac,19740,455
database_duckdb_duckdb,801772,28828
database_dunst-project_dunst,18405,64
database_dvarrazzo_py-setproctitle,934,3
database_DynamoRIO_drmemory,842365,18715
database_DynamoRIO_dynamorio,678144,19139
database_easysnmp_easysnmp,3718,57
database_eclipse_mosquitto,52423,961
database_eclipse_mraa,3825,361
database_eclipse-threadx_threadx,2534,124
database_edenhill_kcat,4023,1718
database_eerimoq_bitstruct,2649,0
database_eggert_tz,7658,80
database_EmbeddedRPC_erpc,56463,183
database_embree_embree,197206,18018
database_emcrisostomo_fswatch,4898,167
database_emscripten-core_emscripten,1057713,3
database_endless-sky_endless-sky,79396,1754
database_envoyproxy_envoy,824921,10600
database_epfml_sent2vec,3576,73
database_ericniebler_range-v3,77060,67
database_erincatto_box2d,79281,1541
database_esheldon_fitsio,121230,6612
database_esnet_iperf,14291,120
database_espeak-ng_espeak-ng,45535,483
database_espruino_Espruino,650162,902
database_Esri_lerc,8918,2893
database_EtchedPixels_FUZIX,386775,2
database_eteran_edb-debugger,59458,765
database_ethereum_ethash,16093,1
database_ethereum_evmc,11184,72
database_ethereum_serpent,4756,58
database_Ettercap_ettercap,0,4149
database_exaloop_codon,37733,5112
database_EZLippi_Tinyhttpd,410,0
database_EZLippi_WebBench,393,0
database_facebook_hermes,428504,6992
database_facebookincubator_katran,20201,21061
database_facebook_pyre2,906,33
database_facebook_redex,288268,8667
database_facebookresearch_nle,315241,101423
database_facebook_rocksdb,486668,5777
database_facebook_yoga,59156,219
database_facebook_zstd,93166,571
database_facontidavide_PlotJuggler,109783,2323
database_fairy-stockfish_Fairy-Stockfish,21923,602
database_falcosecurity_falco,11567,4235
database_fancycode_pylzma,23565,45
database_Farama-Foundation_Arcade-Learning-Environment,29623,595
database_Farama-Foundation_ViZDoom,393748,13779
database_farbrausch_fr_public,760859,28
database_FeralInteractive_gamemode,5287,40
database_FFmpeg_FFmpeg,1293815,43906
database_fibjs_fibjs,2682634,
database_file_file,17975,404
database_flameshot-org_flameshot,27152,
database_flatpak_flatpak,0,
database_flier_pyfasthash,141413,826
database_FLIF-hub_FLIF,32774,422
database_fltk_fltk,261825,14522
database_fluent_fluent-bit,973883,31665
database_fmtlib_fmt,47593,262
database_fogleman_Craft,88545,12708
database_fontforge_fontforge,426941,14467
database_fonttools_unicodedata2,16052,0
database_Foundry376_Mailspring,315913,50252
database_fragglet_c-algorithms,7194,154
database_FreeRADIUS_freeradius-server,329562,3573
database_FreeRDP_FreeRDP,8373,1864
database_FreeRDP_Remmina,45642,80
database_Frommi_miniz_oxide,13234,3
database_fukuchi_libqrencode,11780,1
database_gabime_spdlog,23189,136
database_gdabah_distorm,12038,165
database_geany_geany,236530,1608
database_Genymobile_scrcpy,18795,48
database_gflags_gflags,4379,80
database_ggerganov_ggml,86129,1461
database_ggerganov_ggwave,67115,1569
database_ggerganov_llama.cpp,135613,2550
database_ggerganov_whisper.cpp,143665,1006
database_ggreer_the_silver_searcher,5085,27
database_gigablast_open-source-search-engine,389903,16797
database_gildor2_UEViewer,210236,5112
database_giltene_wrk2,65188,398
database_git-for-windows_git,301755,4843
database_git_git,292134,4880
database_glfw_glfw,70181,510
database_gnea_grbl,6034,0
database_Gnucash_gnucash,287640,3832
database_gnuradio_gnuradio,205023,916
database_godotengine_godot,2300944,
database_gojue_ecapture,198,531
database_google_benchmark,12621,0
database_google_bloaty,645909,466
database_GoogleChromeLabs_webm-wasm,356,1431
database_google_cpu_features,8815,156
database_google-deepmind_labmaze,2247,0
database_google-deepmind_mujoco,93994,9331
database_google_draco,527008,524
database_google_flatbuffers,86205,1265
database_google_glog,6856,390
database_google_googletest,54850,134
database_google_guetzli,8029,140
database_google_ios-webkit-debug-proxy,7541,98
database_google_leveldb,87048,383
database_google_libphonenumber,24523,236
database_google_nsjail,23449,686
database_google_oboe,45007,274
database_google_orbit,482080,4178
database_google_re2,28356,633
database_google_robotstxt,1436,275
database_google_sentencepiece,61020,720
database_google_snappy,70634,261
database_google_zopfli,10506,1851
database_gosu_gosu,89793,1953
database_GothenburgBitFactory_taskwarrior,50279,26436
database_gozfree_gear-lib,106406,222
database_gpac_gpac,657790,19373
database_gperftools_gperftools,84230,478
database_gqrx-sdr_gqrx,26206,539
database_grafana_pyroscope,1997,45
database_GrahamDumpleton_mod_wsgi,15404,113
database_grame-cncm_faust,417912,580
database_grbl_grbl,4438,0
database_greatscottgadgets_ubertooth,27454,2
database_greenbone_openvas-scanner,347,338
database_greenplum-db_gpdb,1425764,
database_griddb_griddb,502767,25943
database_Groestlcoin_groestlcoin,233771,3716
database_grpc_grpc,3799657,9992
database_g-truc_glm,64669,152
database_guanzhi_GmSSL,78226,2736
database_guillaumeblanc_ozz-animation,107199,949
database_guillaumechereau_goxel,166546,3845
database_h2o_h2o,258398,5629
database_haad_proxychains,1522,3
database_hacksysteam_HackSysExtremeVulnerableDriver,5834,76
database_Haivision_srt,44349,510
database_hajimes_mmh3,7625,0
database_hannorein_rebound,29569,217
database_HardySimpson_zlog,7811,22
database_harfbuzz_harfbuzz,128633,3542
database_hashcat_hashcat,268822,1405
database_hathach_tinyusb,777,4336
database_heitzmann_gdstk,33166,1439
database_HIT-SCIR_pyltp,208568,1245
database_hoffstadt_DearPyGui,817095,3796
database_Hopson97_MineCraft-One-Week-Challenge,47081,89
database_hrydgard_ppsspp,2491170,33709
database_htop-dev_htop,0,276
database_huangz1990_annotated_redis_source,59010,1519
database_huangz1990_redis-3.0-annotated,69172,1809
database_huihut_interview,2438,32
database_HumbleUI_JWM,10752,55
database_hyperion-project_hyperion.ng,40884,5016
database_hyprwm_Hyprland,32557,152
database_hzeller_rpi-rgb-led-matrix,23314,54
database_i3_i3,30335,3646
database_IanHarvey_bluepy,25708,65
database_icholy_ttygif,547,1
database_ICRAR_crc32c,888,4
database_idea4good_GuiLite,8489,12
database_idealvin_coost,41141,399
database_ideawu_icomet,50978,1309
